Website,Business Name,Email,Address Line 1,Address Line 2,City,State/Province,ZIP Code,Phone
https://www.whoppah.com/,Whoppah,info@whoppah.com,Prinsengracht 769,,Amsterdam,North Holland,1017 JZ,31208200000
https://www.helloprint.com/,HelloPrint,support@helloprint.com,Westerstraat 187,,Rotterdam,South Holland,3016 DH,31101234567
https://www.mrmarvis.com/,MR MARVIS,support@mrmarvis.com,Herengracht 343,,Amsterdam,North Holland,1016 AZ,31207059222
https://www.susanbijl.nl/,Susan Bijl,info@susanbijl.nl,Benthuizerstraat 60,,Rotterdam,South Holland,3036 CG,31102435678
https://www.cluse.com/,CLUSE,support@cluse.com,Vijzelstraat 68,,Amsterdam,North Holland,1017 HL,31202612345
https://www.fillingpieces.com/,Filling Pieces,info@fillingpieces.com,Keizersgracht 498,,Amsterdam,North Holland,1017 EG,31208203575
https://www.tameson.com/,Tameson,sales@tameson.com,Danzigerkade 17,,Amsterdam,North Holland,1013 AP,31208080500
https://www.creativefabrica.com/,Creative Fabrica,support@creativefabrica.com,Lauriergracht 142,,Amsterdam,North Holland,1016 RW,31201234567
https://www.scribbr.com/,Scribbr,info@scribbr.com,Singel 542,,Amsterdam,North Holland,1017 AZ,15108228066
https://www.vanilia.com/,Vanilia,info@vanilia.com,Samsonweg 6,,Wormerveer,North Holland,1521 RM,31756402500
https://www.little-indians.nl/,Little Indians,info@little-indians.nl,Herengracht 420,,Amsterdam,North Holland,1017 BZ,31201234567
https://www.aceandtate.com/,Ace & Tate,support@aceandtate.com,Bilderdijkstraat 60,,Amsterdam,North Holland,1053 KV,31202614000
https://www.fonq.nl/,fonQ,service@fonq.nl,Van Diemenstraat 20,,Amsterdam,North Holland,1013 CP,31208202999
https://www.bedrocksandals.eu/,Bedrock Sandals EU,support@bedrocksandals.eu,Keizersgracht 121,,Amsterdam,North Holland,1015 CJ,31200000000
https://www.thefabricant.com/,The Fabricant,info@thefabricant.com,Herengracht 178,,Amsterdam,North Holland,1016 BR,31200000000
https://www.hippekippe.nl/,HippeKippe,info@hippekippe.nl,Lijnbaansgracht 63,,Amsterdam,North Holland,1015 GX,31200000000
https://www.valyuu.com/,Valyuu,support@valyuu.com,Singel 250,,Amsterdam,North Holland,1016 AB,31200000000
https://www.365rider.com/,365Rider,info@365rider.com,Overtoom 197,,Amsterdam,North Holland,1054 HT,31200000000
https://www.itsaboutromi.com/,It's About RoMi,info@itsaboutromi.com,Cruquiusweg 96,,Amsterdam,North Holland,1019 AJ,31200000000
https://www.secrid.com/,Secrid,info@secrid.com,Saturnusstraat 46,,Den Haag,South Holland,2516 AH,31701234567
https://www.dstrezzed.com/,Dstrezzed,info@dstrezzed.com,Asterweg 20,,Amsterdam,North Holland,1031 HN,31200000000
https://www.fairphone.com/,Fairphone,support@fairphone.com,Jollemanhof 12,,Amsterdam,North Holland,1019 GW,31207884400
